"Nome dell'inserzione","Ora del giorno (fuso orario dell'account pubblicitario)","Pubblicazione dell'inserzione",Risultati,"Indicatore di risultato","Costo per risultato","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Impression,Copertura,Frequenza,"CPM (costo per 1000 impression) (EUR)","Riproduzioni del video di 3 secondi","Clic sul link","Tempo medio di riproduzione del video","Percentuale di visualizzazione del video",Fine,"Impostazione di attribuzione","Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti i clic)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","ROAS (ritorno sulla spesa pubblicitaria) per gli acquisti in-app","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti sul sito Web","Percentuale di successo","Valore risultati","Indicatore del ROAS dei risultati","ROAS risultati","Costo per 1000 account del Centro gestione account raggiunti (EUR)",Visualizzazioni,Visualizzazioni,"Costo per riproduzione del video di 2 secondi continuativi (EUR)","Costo per ThruPlay (EUR)","Riproduzioni del video di 2 secondi continuativi",unique_video_continuous_2_sec_watched_actions:video_view,ThruPlay,"Riproduzioni del video","Costo per riproduzione del video di 3 secondi (EUR)","Clic unici (tutti)","Clic unici sul link","Costo per clic unico (tutti) (EUR)","Costo per clic unico sul link (EUR)","CTR (tasso di clic) in uscita","Clic in uscita","Clic unici in uscita","Costo per clic in uscita (EUR)","Costo per clic unico in uscita (EUR)","CTR per clic unici in uscita","CTR unico (tutti i clic)","Visualizzazioni della foto","CTR unico (tasso di clic sul link)","Costo per visualizzazione della pagina di destinazione (EUR)","Visite al profilo Instagram","Costo per ""Mi piace"" (EUR)","""Mi piace"" di Facebook","Follower di Instagram","Commenti ai post","Condivisioni dei post",ar_effect_share:ar_effect_share,"Costo per interazione con il post (EUR)",cost_per_action_type:group_join,"Costo per interazione con la Pagina (EUR)","Costo per risposta all'evento (EUR)","Interazione con la Pagina",instagram_upcoming_event_reminders_set,Registrazioni,"Risposte all'evento","Interazioni con il post",actions:group_join,"Salvataggi del post","Reazioni ai post",onsite_conversion_returning_messaging_connection,actions:onsite_conversion.messaging_conversation_replied_7d,cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_welcome_message_view,"Contatti dei messaggi","Conversazioni tramite messaggi avviate","Costo per conversazione tramite messaggi avviata (EUR)"," (EUR)","Nuovi contatti dei messaggi","Acquisti diretti sul sito web","Clic sulle inserzioni in-app","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS (ritorno sulla spesa pubblicitaria) relativo alle donazioni","Riproduzioni del video al 100%","Riproduzioni del video al 50%","Riproduzioni del video al 95%","Riproduzioni del video al 25%","Riproduzioni del video al 75%","Tasso di riproduzioni del video di 3 secondi per impression","Data di creazione","Fine dei report",Inizio,"Pubblicazione del gruppo di inserzioni","Data dell'ultima modifica","Inizio dei report","Ultima modifica significativa",Obiettivo,Offerta,"Tipo di offerta","ID account","ID dell'inserzione","Nome del gruppo di inserzioni","Nome della campagna","Nome dell'account","ID della campagna","ID del gruppo di inserzioni",url_tags,instant_experience_element_reach:instant_experience_element_impression,instant_experience_element_impressions:instant_experience_element_impression,"Impression da aggiornamento automatico","Impression totali (include le impression non valide da traffico non umano)","Percentuale di visualizzazione dell'esperienza interattiva","Tempo di visualizzazione dell'esperienza interattiva","Costo per aumento stimato del ricordo dell'inserzione (persone) (EUR)","Aumento stimato del ricordo dell'inserzione (persone)","Tasso di aumento stimato del ricordo dell'inserzione","Clic in uscita per l'esperienza interattiva","Clic per avviare l'esperienza interattiva","Clic per aprire l'esperienza interattiva","Tasso di acquisti per clic sul link","Tasso di visualizzazioni della pagina di destinazione per clic sul link","Tasso di acquisti per visualizzazioni della pagina di destinazione","Conversioni degli acquisti medie","Costo per mantenimento del giorno 7 nell'app mobile (EUR)","Mantenimento del giorno 7 nell'app mobile","Mantenimento del giorno 2 nell'app mobile","Costo per mantenimento del giorno 2 nell'app mobile (EUR)"
,,0,,,,0,0,109.6,52781,45948,1.148712,2.076505,,,00:00:00,0,,"Impostazioni di attribuzione multipla",-,-,-,,,,511,0.968151,0.214481,,,,,,,,,2.385305,45783,57893,,,,,,,,503,,0.217893,,,,,,,,1.094716,,0.039175,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,59.114075,0,2025-11-29,,0,0,2025-10-10,0,Più,0,0,,0,,,,0,0,,,,0,52779,0,0,0,0,0,,0,0,0,50,0,,,,,
TLP_spotify,"23:00:00 - 23:59:59",active,6,actions:link_click,0.19333333,"Uso del budget della campagna",0,1.16,435,0,0,2.666667,63,6,00:00:00,0,2025-12-03,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,0.193333,1.37931,8,1.83908,0.145,3,0.386667,,,1.37931034,,,,0,0,0,,,,,,,0.018413,0,,0,,1.37931,6,,0.193333,,,0,,0,0.386667,0,,,0,,,,0.016111,,0.016111,,72,,,,72,,,3,,,,,,,,,,,0,,,,,,,,,14.482759,2025-11-29,2025-11-29,2025-11-29,active,2025-11-29,2025-11-29,2025-11-29T18:02:20+0100,Traffico,0,ABSOLUTE_OCPM,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,0,435,0,0,0,0,0,,0,0,0,0,0,,,,,
TLP_spotify,"22:00:00 - 22:59:59",active,8,actions:link_click,0.195,"Uso del budget della campagna",0,1.56,611,0,0,2.553191,90,8,00:00:00,0,2025-12-03,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,0.195,1.309329,15,2.454992,0.104,5,0.312,,,1.30932897,,,,0,0,0,,,,,,,0.017333,0,,0,,1.309329,8,,0.195,,,0,,0,0.312,0,,,0,,,,0.0156,,0.0156,,100,,,,100,,,2,,,,,,,,,,,0,,,,,,,,,14.729951,2025-11-29,2025-11-29,2025-11-29,active,2025-11-29,2025-11-29,2025-11-29T18:02:20+0100,Traffico,0,ABSOLUTE_OCPM,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,0,611,0,0,0,0,0,,0,0,0,0,0,,,,,
TLP_spotify,"21:00:00 - 21:59:59",active,4,actions:link_click,0.24,"Uso del budget della campagna",0,0.96,391,0,0,2.455243,63,4,00:00:00,0,2025-12-03,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,0.24,1.023018,5,1.278772,0.192,1,0.96,,,1.0230179,,,,0,0,0,,,,,,,0.015238,0,,0,,1.023018,4,,0.24,,,0,,0,0.96,0,,,0,,,,0.014118,,0.014118,,68,,,,68,,,1,,,,,,,,,,,0,,,,,,,,,16.112532,2025-11-29,2025-11-29,2025-11-29,active,2025-11-29,2025-11-29,2025-11-29T18:02:20+0100,Traffico,0,ABSOLUTE_OCPM,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,0,391,0,0,0,0,0,,0,0,0,0,0,,,,,
TLP_spotify,"20:00:00 - 20:59:59",active,,,,"Uso del budget della campagna",0,0,25,0,0,0,1,,00:00:00,0,2025-12-03,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,0,0,0,,,,,,,,,0,0,0,,,,,,,0,0,,0,,,,,,,,0,,0,,0,,,0,,,,0,,0,,1,,,,1,,,,,,,,,,,,,,0,,,,,,,,,4,2025-11-29,2025-11-29,2025-11-29,active,2025-11-29,2025-11-29,2025-11-29T18:02:20+0100,Traffico,0,ABSOLUTE_OCPM,1260829851770085,120236101253550167,TLP_Click,TLP_Click,YangKidd,120236101253540167,120236101253530167,,,,0,25,0,0,0,0,0,,0,0,0,0,0,,,,,
TLP_INSERZ,"23:00:00 - 23:59:59",active,,,,35,Totale,0,3,0,0,0,2,,00:00:00,0,2025-12-03,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,0,0,0,,,,,,,,,0,0,0,,,,,,,0,0,,0,,,,,,,,0,,0,,0,,,0,,,,0,,0,,2,,,,2,,,,,,,,,,,,,,0,,,,,,,,,66.666667,2025-11-29,2025-11-29,2025-11-29,active,2025-11-29,2025-11-29,0,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120236098247870167,TLP_HYPE_PROFILE,TLP_HYPE_PROFILE,YangKidd,120236098247880167,120236098247890167,,,,0,3,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"12:00:00 - 12:59:59",inactive,,,,21.67,Giornaliero,0.4,184,0,0,2.173913,116,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,2,1.086957,0.2,,,,,,,,,0,0,0,,,,,,,0.003448,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.00339,,0.00339,,118,,,,118,,,2,,,,,,,,,,,0,,,,,,,,,63.043478,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,184,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"11:00:00 - 11:59:59",inactive,,,,21.67,Giornaliero,0.73,318,0,0,2.295597,191,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,2,0.628931,0.365,,,,,,,,,0,0,0,,,,,,,0.003822,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.003668,,0.003668,,199,,,,199,,,8,,,,,,,,,,,0,,,,,,,,,60.062893,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,318,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"10:00:00 - 10:59:59",inactive,,,,21.67,Giornaliero,1.25,505,0,0,2.475248,293,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,2,0.39604,0.625,,,,,,,,,0,0,0,,,,,,,0.004266,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.004181,,0.004181,,299,,,,299,,,6,,,,,,,,,,,0,,,,,,,,,58.019802,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,505,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"09:00:00 - 09:59:59",inactive,,,,21.67,Giornaliero,1.14,440,0,0,2.590909,271,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,2,0.454545,0.57,,,,,,,,,0,0,0,,,,,,,0.004207,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.004145,,0.004145,,275,,,,275,,,4,,,,,,,,,,,0,,,,,,,,,61.590909,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,440,0,0,0,0,0,,0,0,0,0,0,,,,,
