"Date","Hour","Active followers"
"24 novembre","0","76"
"24 novembre","1","42"
"24 novembre","2","19"
"24 novembre","3","8"
"24 novembre","4","4"
"24 novembre","5","5"
"24 novembre","6","24"
"24 novembre","7","48"
"24 novembre","8","51"
"24 novembre","9","53"
"24 novembre","10","62"
"24 novembre","11","75"
"24 novembre","12","85"
"24 novembre","13","95"
"24 novembre","14","103"
"24 novembre","15","99"
"24 novembre","16","87"
"24 novembre","17","92"
"24 novembre","18","90"
"24 novembre","19","93"
"24 novembre","20","89"
"24 novembre","21","102"
"24 novembre","22","88"
"24 novembre","23","85"
"25 novembre","0","57"
"25 novembre","1","44"
"25 novembre","2","23"
"25 novembre","3","15"
"25 novembre","4","10"
"25 novembre","5","14"
"25 novembre","6","36"
"25 novembre","7","57"
"25 novembre","8","51"
"25 novembre","9","61"
"25 novembre","10","69"
"25 novembre","11","73"
"25 novembre","12","74"
"25 novembre","13","93"
"25 novembre","14","111"
"25 novembre","15","92"
"25 novembre","16","90"
"25 novembre","17","91"
"25 novembre","18","94"
"25 novembre","19","94"
"25 novembre","20","100"
"25 novembre","21","101"
"25 novembre","22","92"
"25 novembre","23","89"
"26 novembre","0","71"
"26 novembre","1","31"
"26 novembre","2","24"
"26 novembre","3","6"
"26 novembre","4","2"
"26 novembre","5","7"
"26 novembre","6","25"
"26 novembre","7","59"
"26 novembre","8","60"
"26 novembre","9","55"
"26 novembre","10","67"
"26 novembre","11","67"
"26 novembre","12","83"
"26 novembre","13","83"
"26 novembre","14","98"
"26 novembre","15","96"
"26 novembre","16","96"
"26 novembre","17","87"
"26 novembre","18","96"
"26 novembre","19","89"
"26 novembre","20","103"
"26 novembre","21","104"
"26 novembre","22","91"
"26 novembre","23","83"
"27 novembre","0","57"
"27 novembre","1","33"
"27 novembre","2","20"
"27 novembre","3","13"
"27 novembre","4","11"
"27 novembre","5","9"
"27 novembre","6","22"
"27 novembre","7","61"
"27 novembre","8","51"
"27 novembre","9","63"
"27 novembre","10","60"
"27 novembre","11","75"
"27 novembre","12","76"
"27 novembre","13","98"
"27 novembre","14","105"
"27 novembre","15","90"
"27 novembre","16","85"
"27 novembre","17","100"
"27 novembre","18","87"
"27 novembre","19","99"
"27 novembre","20","91"
"27 novembre","21","92"
"27 novembre","22","80"
"27 novembre","23","65"
"28 novembre","0","73"
"28 novembre","1","45"
"28 novembre","2","23"
"28 novembre","3","14"
"28 novembre","4","13"
"28 novembre","5","11"
"28 novembre","6","20"
"28 novembre","7","55"
"28 novembre","8","47"
"28 novembre","9","60"
"28 novembre","10","79"
"28 novembre","11","67"
"28 novembre","12","82"
"28 novembre","13","97"
"28 novembre","14","101"
"28 novembre","15","93"
"28 novembre","16","98"
"28 novembre","17","86"
"28 novembre","18","96"
"28 novembre","19","101"
"28 novembre","20","93"
"28 novembre","21","87"
"28 novembre","22","81"
"28 novembre","23","75"
"29 novembre","0","69"
"29 novembre","1","46"
"29 novembre","2","34"
"29 novembre","3","24"
"29 novembre","4","15"
"29 novembre","5","6"
"29 novembre","6","14"
"29 novembre","7","28"
"29 novembre","8","40"
"29 novembre","9","58"
"29 novembre","10","80"
"29 novembre","11","80"
"29 novembre","12","83"
"29 novembre","13","107"
"29 novembre","14","103"
"29 novembre","15","82"
"29 novembre","16","82"
"29 novembre","17","85"
"29 novembre","18","97"
"29 novembre","19","86"
"29 novembre","20","100"
"29 novembre","21","85"
"29 novembre","22","91"
"29 novembre","23","74"
"30 novembre","0","60"
"30 novembre","1","0"
"30 novembre","2","0"
"30 novembre","3","0"
"30 novembre","4","0"
"30 novembre","5","0"
"30 novembre","6","0"
"30 novembre","7","0"
"30 novembre","8","0"
"30 novembre","9","0"
"30 novembre","10","0"
"30 novembre","11","0"
"30 novembre","12","0"
"30 novembre","13","0"
"30 novembre","14","0"
"30 novembre","15","0"
"30 novembre","16","0"
"30 novembre","17","0"
"30 novembre","18","0"
"30 novembre","19","0"
"30 novembre","20","0"
"30 novembre","21","0"
"30 novembre","22","0"
"30 novembre","23","0"
