"Date","Followers","Difference in followers from previous day"
"1 ottobre","271","0"
"2 ottobre","271","0"
"3 ottobre","271","-1"
"4 ottobre","270","0"
"5 ottobre","270","0"
"6 ottobre","270","0"
"7 ottobre","270","0"
"8 ottobre","270","1"
"9 ottobre","271","11"
"10 ottobre","282","3"
"11 ottobre","285","0"
"12 ottobre","285","1"
"13 ottobre","286","0"
"14 ottobre","286","0"
"15 ottobre","286","0"
"16 ottobre","286","0"
"17 ottobre","286","0"
"18 ottobre","286","0"
"19 ottobre","286","0"
"20 ottobre","286","0"
"21 ottobre","286","1"
"22 ottobre","287","0"
"23 ottobre","287","0"
"24 ottobre","287","-1"
"25 ottobre","286","-1"
"26 ottobre","285","0"
"27 ottobre","285","0"
"28 ottobre","285","0"
"29 ottobre","285","-2"
"30 ottobre","283","0"
"31 ottobre","283","0"
"1 novembre","283","0"
"2 novembre","283","-1"
"3 novembre","282","0"
"4 novembre","282","0"
"5 novembre","282","0"
"6 novembre","282","-1"
"7 novembre","281","0"
"8 novembre","281","0"
"9 novembre","281","0"
"10 novembre","281","0"
"11 novembre","281","0"
"12 novembre","281","0"
"13 novembre","281","0"
"14 novembre","281","0"
"15 novembre","281","1"
"16 novembre","282","0"
"17 novembre","282","0"
"18 novembre","282","0"
"19 novembre","282","0"
"20 novembre","282","0"
"21 novembre","282","0"
"22 novembre","282","0"
"23 novembre","282","1"
"24 novembre","283","0"
"25 novembre","283","1"
"26 novembre","284","1"
"27 novembre","285","3"
"28 novembre","288","0"
"29 novembre","288","0"
