"Date","Video Views","Profile Views","Likes","Comments","Shares"
"1 ottobre","4","0","0","0","0"
"2 ottobre","3","0","0","0","0"
"3 ottobre","1","0","0","0","0"
"4 ottobre","6","0","0","0","0"
"5 ottobre","16","0","0","0","0"
"6 ottobre","3","0","0","0","0"
"7 ottobre","2","0","0","0","0"
"8 ottobre","9","0","0","0","0"
"9 ottobre","709","3","11","1","1"
"10 ottobre","2655","59","101","5","8"
"11 ottobre","648","19","23","0","3"
"12 ottobre","261","11","7","1","1"
"13 ottobre","184","4","5","0","1"
"14 ottobre","162","2","16","2","2"
"15 ottobre","63","3","1","0","0"
"16 ottobre","66","1","1","0","0"
"17 ottobre","30","2","1","0","0"
"18 ottobre","30","1","0","0","0"
"19 ottobre","34","0","1","0","0"
"20 ottobre","33","1","0","0","0"
"21 ottobre","14","2","0","0","0"
"22 ottobre","34","1","25","0","0"
"23 ottobre","4","0","0","0","0"
"24 ottobre","11","0","0","0","0"
"25 ottobre","9","0","0","0","0"
"26 ottobre","4","1","0","0","0"
"27 ottobre","11","0","0","0","0"
"28 ottobre","8","0","1","0","0"
"29 ottobre","13","1","1","0","0"
"30 ottobre","12","0","0","0","0"
"31 ottobre","22","1","0","0","0"
"1 novembre","13","0","0","0","0"
"2 novembre","11","0","0","0","0"
"3 novembre","9","0","0","0","0"
"4 novembre","18","0","1","0","0"
"5 novembre","9","1","0","0","0"
"6 novembre","4","0","0","0","0"
"7 novembre","20","1","0","0","0"
"8 novembre","7","0","0","0","0"
"9 novembre","6","0","0","0","0"
"10 novembre","4","0","0","0","0"
"11 novembre","2","0","0","0","0"
"12 novembre","5","0","0","0","0"
"13 novembre","2","0","1","0","0"
"14 novembre","8","1","1","0","0"
"15 novembre","1","0","0","0","0"
"16 novembre","40","1","0","0","0"
"17 novembre","1","0","0","0","0"
"18 novembre","5","1","0","0","0"
"19 novembre","6","0","0","0","0"
"20 novembre","8","0","0","0","0"
"21 novembre","0","0","0","0","0"
"22 novembre","0","0","0","0","0"
"23 novembre","3","0","0","0","0"
"24 novembre","4","1","2","0","0"
"25 novembre","7","4","0","0","0"
"26 novembre","11","2","0","0","0"
"27 novembre","694","4","21","7","2"
"28 novembre","1579","17","58","10","1"
"29 novembre","90","5","4","1","0"
