"Date","Total Viewers","New Viewers","Returning Viewers"
"2 ottobre","1","0","1"
"3 ottobre","1","0","1"
"4 ottobre","1","1","0"
"5 ottobre","3","3","0"
"6 ottobre","3","1","2"
"7 ottobre","2","2","0"
"8 ottobre","2","1","1"
"9 ottobre","2","1","1"
"10 ottobre","628","593","35"
"11 ottobre","2031","1433","598"
"12 ottobre","396","204","192"
"13 ottobre","196","114","82"
"14 ottobre","117","61","56"
"15 ottobre","86","37","49"
"16 ottobre","32","24","8"
"17 ottobre","27","17","10"
"18 ottobre","23","10","13"
"19 ottobre","12","7","5"
"20 ottobre","27","16","11"
"21 ottobre","6","2","4"
"22 ottobre","9","3","6"
"23 ottobre","9","6","3"
"24 ottobre","4","2","2"
"25 ottobre","8","3","5"
"26 ottobre","8","5","3"
"27 ottobre","4","3","1"
"28 ottobre","10","4","6"
"29 ottobre","7","3","4"
"30 ottobre","4","2","2"
"31 ottobre","9","4","5"
"1 novembre","9","4","5"
"2 novembre","13","7","6"
"3 novembre","9","6","3"
"4 novembre","7","3","4"
"5 novembre","10","7","3"
"6 novembre","6","5","1"
"7 novembre","3","1","2"
"8 novembre","9","7","2"
"9 novembre","6","6","0"
"10 novembre","5","2","3"
"11 novembre","3","1","2"
"12 novembre","2","0","2"
"13 novembre","5","3","2"
"14 novembre","2","0","2"
"15 novembre","6","4","2"
"16 novembre","1","0","1"
"17 novembre","7","3","4"
"18 novembre","1","0","1"
"19 novembre","3","1","2"
"20 novembre","6","4","2"
"21 novembre","4","1","3"
"22 novembre","0","0","0"
"23 novembre","0","0","0"
"24 novembre","2","0","2"
"25 novembre","3","3","0"
"26 novembre","5","3","2"
"27 novembre","2","0","2"
"28 novembre","606","544","62"
"29 novembre","1345","1074","271"
"30 novembre","undefined","0","0"
